kd_gol_kary,kd_sts_kary,kd_lok_krj,kd_jabatan,kd_divisi,kd_divisi_bag,kd_divisi_sub_bag,PIN,tgl_msk,tgl_klr,Lokasi_Kerja_Asli
LCI,01,01,04,42,00,00,100182,2012-09-24,,Surabaya Office (SO)
LCI,01,01,05,04,00,00,100208,2014-09-08,,Surabaya Office (SO)
SF,01,03,08,25,27,00,201011,2001-06-10,2025-07-11,Surabaya Factory (SF)
LCI,01,01,02,02,00,00,100020,1993-11-11,,Surabaya Office (SO)
LCI,01,03,04,11,00,00,100077,1996-08-26,2026-02-28,Surabaya Factory (SF)
LCI,01,01,05,02,00,00,100095,1997-04-29,,Surabaya Office (SO)
LCI,01,03,06,11,00,00,100110,1995-05-16,2019-11-12,Surabaya Factory (SF)
LCI,01,01,05,03,00,00,100203,2014-06-23,,Surabaya Office (SO)
LCI,01,01,05,02,01,00,100132,2001-07-10,2025-07-07,Surabaya Office (SO)
LCI,01,03,03,14,00,00,100136,2002-09-23,2025-04-20,Surabaya Factory (SF)
LCI,01,01,03,05,20,00,100151,2006-02-15,,Surabaya Office (SO)
LCI,01,03,05,15,00,00,100153,2002-05-10,2023-11-25,Surabaya Factory (SF)
LCI,01,01,04,03,00,00,100169,2009-10-27,,Surabaya Office (SO)
LCI,01,03,04,24,00,00,100172,2010-07-06,2025-07-09,Surabaya Factory (SF)
LCI,01,01,05,42,00,00,100175,2010-07-26,,Surabaya Office (SO)
LCI,01,01,05,02,01,00,100180,2012-02-02,2021-08-20,Surabaya Office (SO)
LCI,01,03,05,15,00,00,100181,2012-09-21,2025-06-18,Surabaya Factory (SF)
LCI,01,01,04,07,00,00,100183,2012-10-17,,Surabaya Office (SO)
LCI,01,01,04,03,00,00,100186,2013-09-16,,Surabaya Office (SO)
LCI,01,01,05,03,00,00,100188,2013-09-17,,Surabaya Office (SO)
LCI,01,04,03,11,00,00,100189,2013-10-01,,Bali Factory (BF)
LCI,01,03,05,14,00,00,100190,2013-10-07,2017-10-20,Surabaya Factory (SF)
LCI,01,01,05,06,00,00,100192,2013-10-21,2023-12-01,Surabaya Office (SO)
LCI,01,03,05,16,00,00,100195,2013-10-21,,Surabaya Factory (SF)
LCI,01,03,05,11,00,00,100196,2014-03-21,,Surabaya Factory (SF)
LCI,01,01,05,06,00,00,100197,2014-04-01,,Surabaya Office (SO)
LCI,01,02,04,06,00,00,100198,2014-04-01,,Bali Office (BO)
LCI,01,01,04,06,00,00,100199,2014-04-01,,Surabaya Office (SO)
LCI,01,03,05,15,00,00,100209,2014-12-03,,Surabaya Factory (SF)
LCI,01,01,05,05,20,00,100210,2014-12-15,2017-08-25,Surabaya Office (SO)
