IDSKK,kd_lok_krj,shiftkrj,JAT,JST,tglinput,Area
2,03,SHIFT PAGI SF,08:00,16:00,2023-01-31 13:54:58,SF
3,03,SHIFT 1 FORMING SF,07:00,15:00,2023-01-31 13:56:36,SF
4,03,SHIFT 2 FORMING SF,15:00,23:00,2023-01-31 14:01:51,SF
5,03,SHIFT 3 FORMING SF,23:00,07:00,2023-01-31 14:02:18,SF
6,03,SHIFT SORE SF,16:00,00:00,2023-01-31 16:08:42,SF
7,03,SHIFT MALAM SF,23:59,08:00,2023-01-31 16:08:54,SF
11,04,SHIFT 1 PRODUKSI KF,07:00,15:00,2023-02-02 14:29:08,BF
12,04,SHIFT 2 PRODUKSI KF,15:00,23:00,2023-02-02 14:29:33,BF
13,04,SHIFT 3 PRODUKSI KF,23:00,07:00,2023-02-02 14:29:54,BF
14,04,SHIFT 1 SECURTY KF,08:00,16:00,2023-02-02 14:31:56,BF
15,04,SHIFT 3 SECURTY KF,23:59,08:00,2023-06-22 13:34:18,BF
16,04,SHIFT 2 SECURTY KF,16:00,00:00,2023-02-02 14:32:24,BF
17,04,SHIFT 1 SABTU KF,07:00,12:00,2023-02-06 15:19:31,BF
18,04,SHIFT 2 SABTU KF,12:00,17:00,2023-02-06 15:19:59,BF
19,04,SHIFT 3 SABTU KF,17:00,22:00,2023-02-06 15:20:12,BF
20,04,SHIFT 1 MINGGU KF,07:00,12:00,2023-02-07 08:10:05,BF
21,04,SHIFT 2 KHUSUS KF,17:00,01:00,2023-02-14 09:05:18,BF
23,04,SHIFT 2 SABTU KF KHUSUS,15:00,00:00,2023-06-23 15:45:20,BF
24,04,SHIFT 3 KHUSUS KF,20:00,04:00,2023-04-03 10:14:56,BF
25,03,MOJOKERTO SHIFT 1 SABTU,08:00,13:00,2023-03-07 11:08:30,SF
26,03,MOJOKERTO SHIFT 2 SABTU,13:00,18:00,2023-03-07 11:09:29,SF
27,03,MOJOKERTO SHIFT 1,08:00,16:00,2023-03-07 11:12:02,SF
28,03,MOJOKERTO SHIFT 2,16:00,00:00,2023-03-07 11:14:24,SF
29,03,MOJOKERTO SHIFT 3,23:59,08:00,2023-03-07 11:15:49,SF
31,04,SHIFT 2 MINGGU KF,13:00,21:00,2023-04-04 09:45:48,BF
32,04,SHIFT LEMBUR WORKSHOP,08:00,15:30,2023-04-11 08:21:49,BF
33,04,SHIFT LEMBUR OPERATOR,11:00,19:00,2023-04-11 08:05:03,BF
35,04,SHIFT LEMBUR REPAIR,09:00,17:00,2023-04-11 08:21:31,BF
36,04,SHIFT LEMBUR KARU REPAIR,07:00,14:00,2023-04-11 08:19:14,BF
37,04,SHIFT PPIC,15:00,20:00,2023-04-11 09:03:15,BF
39,04,SHIFT 2 MINGGU REPAIR,12:00,19:00,2023-04-11 09:51:37,BF
40,04,SHIFT 2 MINGGU REPAIR 2,11:30,19:00,2023-04-11 09:51:50,BF
41,03,SHIFT 1 MINGGU,08:00,16:00,2024-10-10 10:13:40,SF
42,04,MINGGU HSE,09:00,10:00,2023-04-18 09:38:02,BF
43,04,SHIFT 1 MINGGU CASTING,07:00,17:00,2023-04-18 09:39:45,BF
44,03,INVENTORY SHIFT 1,08:00,16:00,2023-06-20 15:49:32,SF
45,03,INVENTORY SHIFT 2,16:00,00:00,2023-06-23 15:44:27,SF
46,03,INVENTORY SHIFT 3,23:59,08:00,2023-06-20 15:50:50,SF
48,03,QC SHIFT 1,08:00,16:00,2023-06-22 10:31:16,SF
49,03,QC SHIFT 2,16:00,00:00,2023-06-23 15:44:53,SF
51,03,QC SHIFT 3,23:59,08:00,2023-06-22 10:32:04,SF
52,03,NON SHIFT WAREHOUSE,08:00,16:00,2023-06-22 11:04:31,SF
53,03,MAINTENANCE SHIFT 1,08:00,16:00,2023-06-22 11:42:17,SF
54,03,MAINTENANCE SHIFT 2,16:00,00:00,2023-06-23 15:44:36,SF
55,03,MAINTENANCE SHIFT 3,23:59,08:00,2023-06-22 13:33:26,SF
56,03,REPAIR NON SHIFT,08:00,16:00,2023-06-22 15:02:03,SF
57,03,REPAIR PENGIRIMAN SHIFT 1,08:00,16:00,2023-06-22 15:12:10,SF
58,03,REPAIR PENGIRIMAN SHIFT 2,16:00,00:00,2023-06-23 15:45:01,SF
59,03,REPAIR PENGIRIMAN SHIFT 3,23:59,08:00,2023-06-22 15:13:46,SF
